bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,time_placed_iso,time_settled_iso,bet_info,tags,sports,leagues
sample-001,Novig,straight,SETTLED_LOSS,1.8181818181818181,2.04,-0.1087,10,-10.00,09/01/2024 18:00:00 GMT,09/01/2024 23:00:00 GMT,2024-09-01T18:00:00.000Z,2024-09-01T23:00:00.000Z,Elmer Rodriguez-Cruz U 4.5 Strikeouts Thrown New York Yankees @ Los Angeles Angels,,Baseball,MLB
sample-002,Underdog,parlay,SETTLED_VOID,3.5,,,15,0.00,09/02/2024 01:00:00 GMT,09/02/2024 06:00:00 GMT,2024-09-02T01:00:00.000Z,2024-09-02T06:00:00.000Z,Lower 42.5 KC Concepcion Receiving Yards O/U CLE @ JAX | Higher 59.5 Brock Bowers Receiving Yards O/U MIA @ LV,,American Football,NFL
sample-003,Novig,straight,SETTLED_LOSS,2.2222222222222223,2.52,-0.1182,20,-20.00,09/02/2024 08:00:00 GMT,09/02/2024 13:00:00 GMT,2024-09-02T08:00:00.000Z,2024-09-02T13:00:00.000Z,LIU Sharks +39.5 Spread Long Island University @ Kansas,,American Football,NCAAFB
sample-004,Betr Picks,parlay,SETTLED_WIN,6,5.722871615039938,0.0484,5,25.00,09/02/2024 15:00:00 GMT,09/02/2024 20:00:00 GMT,2024-09-02T15:00:00.000Z,2024-09-02T20:00:00.000Z,Over 0.5 Cedric Mullins Total Bases NYM vs. TB | Over 0.5 Tyrone Taylor Hits MIL vs. CHC | Over 1.5 Dak Prescott Passing TDs DAL vs. NYG,,Baseball | American Football,MLB | NFL
sample-005,Dabble,parlay,SETTLED_LOSS,6.6,,,25,-25.00,09/02/2024 22:00:00 GMT,09/03/2024 03:00:00 GMT,2024-09-02T22:00:00.000Z,2024-09-03T03:00:00.000Z,Over 0.5 Taylor Trammell hits Chicago White Sox @ Houston Astros | Over 246.5 Dak Prescott passing-yards Dallas Cowboys @ New York Giants | Under 63.5 Daniel Hill rushing-yards East Carolina Pirates @ Alabama Crimson Tide,,Baseball | American Football,MLB | NFL | NCAAFB
sample-006,Underdog,parlay,SETTLED_WIN,6,,,10,50.00,09/03/2024 05:00:00 GMT,09/03/2024 10:00:00 GMT,2024-09-03T05:00:00.000Z,2024-09-03T10:00:00.000Z,Higher 14.5 Cristian Javier Pitching Outs O/U AZ @ HOU | Higher 7.5 Tactical Kills on Maps 1+2 O/U Sentinels vs Cloud9 Kia | Lower 18.5 Jaylen Warren Receiving Yards O/U ATL @ PIT | Lower 7.5 Jalen Hurts Rush Attempts O/U WAS @ PHI,,Baseball | other | American Football,MLB | other | NFL
sample-007,Betr Picks,parlay,SETTLED_WIN,6,,,15,75.00,09/03/2024 12:00:00 GMT,09/03/2024 17:00:00 GMT,2024-09-03T12:00:00.000Z,2024-09-03T17:00:00.000Z,Over 9.5 Blake Corum Rushing Atts SF vs. LAR | Under 1.5 Hao-Yu Lee Hits + Runs + Runs Batted In MIN vs. DET | Under 13.5 MarShawn Lloyd Rushing Atts GB vs. MIN,,American Football | Baseball,NFL | MLB
sample-008,Dabble,parlay,SETTLED_WIN,6,4.739495798319328,0.2660,20,100.00,09/03/2024 19:00:00 GMT,09/04/2024 00:00:00 GMT,2024-09-03T19:00:00.000Z,2024-09-04T00:00:00.000Z,Over 0.5 Javonte Williams anytime-touchdown Dallas Cowboys @ New York Giants | Under 2.5 Ben Black III receptions Rutgers Scarlet Knights @ Boston College Eagles | Under 0.5 TJ Rumfield singles Colorado Rockies @ New York Yankees,,American Football | Baseball,NFL | NCAAFB | MLB
sample-009,Betr Picks,parlay,SETTLED_WIN,6,,,5,25.00,09/04/2024 02:00:00 GMT,09/04/2024 07:00:00 GMT,2024-09-04T02:00:00.000Z,2024-09-04T07:00:00.000Z,Over 0.5 Dak Prescott Passing Yds DAL vs. NYG | Over 32.5 Tyler Shough Pass Atts NO vs. DET | Under 2 Ja'Kobi Lane Receptions BAL vs. IND,,American Football,NFL
sample-010,Underdog,parlay,SETTLED_WIN,6,,,25,125.00,09/04/2024 09:00:00 GMT,09/04/2024 14:00:00 GMT,2024-09-04T09:00:00.000Z,2024-09-04T14:00:00.000Z,Higher 0.5 Christopher Morel Hits + Runs + RBIs O/U NYM @ NYY | Lower 7.5 Chris Sale Strikeouts O/U PHI @ ATL | Higher 40.5 Giovanni Richardson Receiving Yards O/U ARIZ @ BYU | Higher 6.5 Jalen Tolbert Receiving Yards O/U MIA @ LV,,Baseball | American Football,MLB | NCAAFB | NFL
